date,site,revenue,pageviews,cpm
28-10-2016,ultimateknicks,1.303112923,1866,0.698345618
28-10-2016,arseblog,23.447025,1499,15.64177785
28-10-2016,catchronicles,0.006802796,18,0.377933124
28-10-2016,wearewearside,0.153972533,21,7.332025392
28-10-2016,live4liverpool,6.695256406,2255,2.969071577
28-10-2016,rousingthekop,0.815951249,25,32.63804996
28-10-2016,rabidhabs,0.062689981,45,1.393110678
28-10-2016,mcfcwatch,2.092747883,939,2.228698491
28-10-2016,dodgerblue,4.12212901,3207,1.285353605
28-10-2016,philliesnation,3.244700797,959,3.38342106
28-10-2016,celticquicknews,18.2570676,3884,4.700583832
28-10-2016,therepublikofmancunia,2.339078549,520,4.498227979
28-10-2016,sixpackspeak,0.584766473,1074,0.544475301
28-10-2016,dailythunder,3.24944499,2383,1.363594205
28-10-2016,hornsports,0.293195694,73,4.016379369
28-10-2016,red94,0.222645626,247,0.901399294
28-10-2016,arsenal-mania,0.202936768,54,3.758088292
29-10-2016,sixpackspeak,9.930816242,34791,0.285442104
29-10-2016,russellstreet,1.78936599,4715,0.379504982
29-10-2016,philliesnation,1.713088699,2324,0.737129389
29-10-2016,nothingbutnewcastle,0.118184531,144,0.820725908
29-10-2016,lakersnation,52.86067713,64963,0.813704372
29-10-2016,videocelts,16.46175593,34631,0.475347403
29-10-2016,cardinalconnect,0.355420943,439,0.809614905
29-10-2016,wearewearside,0.175534823,382,0.459515244
29-10-2016,raiders411,0.000620048,17,0.036473411
29-10-2016,sfexaminer,3.42485248,4119,0.831476688
29-10-2016,totalbarca,0.57416326,616,0.932083214
29-10-2016,buffalofambase,0.061248386,153,0.400316245
29-10-2016,arsenal-mania,0.276532671,327,0.845665659
29-10-2016,dodgerblue,2.308403968,2092,1.103443579
29-10-2016,tidefans,4.065444293,13831,0.293937119
29-10-2016,mcfcwatch,4.069237466,6482,0.627774987
29-10-2016,opendota,6.233020044,4815,1.294500528
29-10-2016,arseblog,16.05919209,15609,1.028841827
29-10-2016,rousingthekop,0.445246836,543,0.819975757
29-10-2016,live4liverpool,3.018861586,2738,1.102579104
29-10-2016,starwarsnewsnet,3.771633462,6678,0.564784885
29-10-2016,rabidhabs,0.03209401,74,0.43370284
29-10-2016,welikela,0.387847807,10069,0.038519
29-10-2016,cornellsun,0.056142606,33,1.701291096
29-10-2016,angelswin,1.91200506,1924,0.993765624
29-10-2016,scout,0.011094197,11,1.008563354
29-10-2016,sportsdaily,0.86733106,839,1.033767652
29-10-2016,thecelticblog,6.817507979,11942,0.570884942
29-10-2016,catchronicles,0.010253293,39,0.262904949
29-10-2016,ultimateknicks,8.507568857,13337,0.637892244
29-10-2016,packinsider,0.291155106,316,0.921376917
29-10-2016,tigernet,4.015989394,5106,0.786523579
29-10-2016,justinbieber,0.240413271,18,13.35629284
29-10-2016,gunnersphere,0.072659427,69,1.053035171
29-10-2016,metschronicle,0.005931792,15,0.395452824
29-10-2016,chicitysports,0.233090862,449,0.519133323
29-10-2016,allhabs,0.278704932,523,0.532896619
29-10-2016,celticquicknews,18.93236089,46998,0.402833331
29-10-2016,mynhltraderumors,5.781749875,10039,0.575928865
29-10-2016,hoosierhuddle,0.113892581,607,0.187631929
29-10-2016,foreverwestham,0.680276226,1117,0.609020793
29-10-2016,tennisguru,0.208977251,619,0.337604605
29-10-2016,bluemoon-mcfc,27.02204139,78371,0.344796435
29-10-2016,hornsports,0.218591952,201,1.087522147
29-10-2016,dailythunder,1.57213247,1115,1.409984278
29-10-2016,red94,0.194179701,228,0.851665354
